Date,Open,High,Low,Close,Adj Close,Volume
1989-10-16,1.598214,1.767857,1.517857,48.000000,1.714286,298099200
1989-10-23,1.714286,1.732143,1.589286,45.250000,1.616071,189056000
1989-10-30,1.625000,1.669643,1.535714,43.250000,1.544643,216871200
1989-11-06,1.553571,1.678571,1.535714,46.750000,1.669643,142522800
1989-11-13,1.660714,1.687500,1.562500,44.750000,1.598214,108827600
1989-11-20,1.607143,1.660714,1.589286,44.750000,1.598214,93528400
1989-11-27,1.598214,1.616071,1.517857,44.000000,1.571429,150785600
1989-12-04,1.562500,1.633929,1.464286,41.750000,1.491071,246276800
1989-12-11,1.464286,1.482143,1.160714,33.750000,1.205357,722027600
1989-12-18,1.205357,1.330357,1.205357,36.500000,1.303571,306446000
1989-12-25,1.312500,1.312500,1.223214,35.250000,1.258929,173989200
1990-01-01,1.258929,1.383929,1.250000,37.750000,1.348214,184004800
1990-01-08,1.339286,1.357143,1.205357,34.500000,1.232143,192595200
1990-01-15,1.232143,1.276786,1.151786,34.250000,1.223214,277928000
1990-01-22,1.214286,1.241071,1.151786,32.750000,1.169643,187266800
1990-01-29,1.178571,1.241071,1.147321,34.250000,1.223214,153966400
1990-02-05,1.223214,1.258929,1.151786,34.250000,1.223214,210708400
1990-02-12,1.223214,1.250000,1.196429,33.750000,1.205357,124580400
1990-02-19,1.196429,1.232143,1.160714,33.250000,1.187500,161072800
1990-02-26,1.178571,1.241071,1.178571,33.750000,1.205357,142923200
1990-03-05,1.196429,1.339286,1.196429,36.875000,1.316964,249256000
1990-03-12,1.330357,1.455357,1.294643,40.250000,1.437500,294828800
1990-03-19,1.446429,1.535714,1.428571,42.250000,1.508929,358873200
1990-03-26,1.517857,1.549107,1.428571,40.250000,1.437500,158961600
1990-04-02,1.428571,1.500000,1.410714,39.875000,1.424107,166160400
1990-04-09,1.419643,1.571429,1.410714,43.250000,1.544643,165440800
1990-04-16,1.553571,1.580357,1.419643,40.250000,1.437500,339110800
1990-04-23,1.437500,1.446429,1.361607,39.125000,1.397321,205808400
1990-04-30,1.401786,1.455357,1.392857,40.000000,1.428571,192819200
1990-05-07,1.419643,1.526786,1.419643,42.625000,1.522321,184993200
1990-05-14,1.526786,1.526786,1.410714,39.750000,1.419643,218780800
1990-05-21,1.410714,1.517857,1.383929,40.000000,1.428571,310634800
1990-05-28,1.428571,1.500000,1.401786,40.750000,1.455357,195087200
1990-06-04,1.455357,1.464286,1.339286,38.250000,1.366071,302730400
1990-06-11,1.348214,1.455357,1.348214,39.500000,1.410714,186586400
